A,B,C,D,E,score
0.17441064,0.5117273,0.70114326,0.68198466,0.90148467,69.041595
0.113596976,0.68567866,0.6664079,0.22805125,0.15993237,68.05197
0.65571845,0.5901561,0.87679636,0.9048704,0.52671623,72.44675
0.81740826,0.21208304,0.09550989,0.40257192,0.23974329,74.95396
0.35302085,0.33087963,0.4637109,0.79894733,0.6765035,75.53325
0.29349476,0.30981773,0.060967743,0.10422224,0.3115964,69.197174
0.097706735,0.4212095,0.53003794,0.3998217,0.44224286,70.60714
0.10001004,0.035056055,0.14015132,0.6513023,0.70433456,69.38222
0.1566121,0.9927444,0.8170107,0.38106698,0.41518116,67.53713
0.68164736,0.51698357,0.5436349,0.002869606,0.2751761,69.39489
0.9342858,0.9067063,0.76032484,0.05848086,0.35301745,67.15022
0.18623245,0.70204943,0.41435778,0.09862018,0.37934548,69.365005
0.9051946,0.2890907,0.5442644,0.2490797,0.62592816,70.97837
0.5181223,0.8023357,0.48266298,0.36298454,0.43989682,75.03342
0.09734613,0.054270387,0.16614807,0.58598727,0.65903455,69.66982
0.13156354,0.61335665,0.13826203,0.22997528,0.8991356,67.98588
0.19661516,0.52103436,0.48517638,0.6665588,0.51729363,74.21472
0.46620214,0.6367212,0.7569734,0.2547204,0.9990322,67.37461
0.05671197,0.4968658,0.68500656,0.4382305,0.50554365,69.15725
0.19234341,0.9645338,0.46029449,0.49523145,0.2820989,71.80003
0.4486999,0.6601535,0.16060072,0.48796612,0.28874612,79.8282
0.9097476,0.9296508,0.20828831,0.55772066,0.23878741,78.20174
0.7524443,0.7071382,0.54097426,0.25261158,0.2641092,73.11023
0.02796501,0.05176586,0.956103,0.22459704,0.1608333,65.12125
0.65069103,0.6965362,0.9315828,0.39808863,0.11960101,69.55259
0.62213624,0.3743487,0.95635414,0.65582675,0.09326923,69.453766
0.039855063,0.71516395,0.32237172,0.30462527,0.7530136,68.66778
0.7980518,0.5201973,0.037438393,0.48663074,0.67019,78.49243
0.7370498,0.8995586,0.45965785,0.7377316,0.8224147,75.53211
0.32973385,0.93626326,0.52516854,0.1822223,0.6134457,69.66814
0.261352,0.7810911,0.08619088,0.80179334,0.07298988,75.35854
0.94677097,0.1321832,0.8273687,0.3666488,0.77283615,67.48712
0.1918348,0.2908271,0.25353962,0.057703376,0.8890081,66.71544
0.16796339,0.9140322,0.17446995,0.2536741,0.44149727,70.14227
0.24934137,0.83458734,0.32535166,0.1288662,0.32330978,69.822876
0.29017526,0.64533895,0.89685345,0.42962074,0.20303631,68.47206
0.31556088,0.16063881,0.7085398,0.9830867,0.96735656,67.50067
0.02995652,0.93926793,0.34955823,0.5454825,0.18922675,70.80847
0.6112096,0.22142011,0.780176,0.63660383,0.31203526,72.38899
0.6638124,0.7603849,0.31431323,0.8263106,0.9663286,74.83923
0.3572688,0.28027552,0.73744535,0.30625755,0.74079764,68.312294
0.76397425,0.58455676,0.9717004,0.7671938,0.14039284,70.26397
0.35314554,0.9635158,0.65441495,0.7466148,0.8708522,70.206055
0.5964491,0.9880254,0.21586478,0.6917264,0.9069873,73.046555
0.93761307,0.40510517,0.47020417,0.2521463,0.86845446,70.21727
0.04694158,0.54092056,0.29317147,0.735345,0.7284005,72.1521
0.8703715,0.40140283,0.66641384,0.97909766,0.9443326,70.782684
0.870832,0.55066675,0.056159377,0.10609734,0.62146014,71.058685
0.7374215,0.31107664,0.34109998,0.008700013,0.8048246,68.17311
0.2788716,0.18743128,0.59849757,0.7509631,0.5562977,72.09021
0.8532335,0.97452676,0.9463516,0.353105,0.69264144,67.24208
0.812426,0.0010058284,0.8781607,0.12169063,0.3949147,65.750374
0.7308877,0.043604016,0.85529363,0.4320864,0.24824423,68.711845
0.8261656,0.35671294,0.18678975,0.4567986,0.9210492,73.396675
0.7753435,0.5511234,0.72621626,0.87174666,0.76555884,73.50267
0.44247687,0.3568778,0.6368801,0.7930866,0.9728648,70.56395
0.02570057,0.8252798,0.61227,0.18794394,0.09569305,66.837296
0.61639285,0.1676625,0.4706865,0.113662064,0.81026536,68.0381
0.5625644,0.71631426,0.42366296,0.112614095,0.92379713,68.543335
0.3921079,0.52015316,0.14940369,0.5097472,0.56796604,78.115005
0.03532809,0.8623026,0.23632604,0.1477046,0.70290834,67.29659
0.14018387,0.86040866,0.63834095,0.5037699,0.32807428,69.90788
0.7572646,0.54932463,0.20747572,0.0586766,0.6697693,70.860954
0.6833044,0.888082,0.3322001,0.08094281,0.3012243,70.33856
0.2113294,0.3838436,0.07534617,0.9780678,0.41377658,75.95828
0.55864435,0.2798162,0.673165,0.095627785,0.87018996,66.697815
0.8006327,0.095565796,0.3715685,0.5808025,0.3607117,74.894875
0.5581518,0.7170213,0.7858557,0.3408466,0.21818304,71.423035
0.51863307,0.727711,0.4667591,0.88967746,0.06971085,78.59384
0.9067062,0.75272626,0.25247133,0.023854494,0.779773,68.73453
0.9830081,0.28528547,0.42746717,0.5355123,0.6573511,74.32373
0.64054394,0.54309833,0.81272167,0.7017744,0.22673339,74.30261
0.08844876,0.20180851,0.05307877,0.34669805,0.19379961,69.890045
0.8319585,0.6489789,0.23655504,0.5615931,0.56418276,82.98257
0.5170151,0.27467495,0.202223,0.12642437,0.3335722,71.85728
0.4885611,0.7541659,0.7760653,0.25647187,0.44138968,70.70336
0.09611273,0.79426295,0.084911585,0.18988103,0.2371046,69.000854
0.24625397,0.3592463,0.6407709,0.5216049,0.22615689,71.77675
0.92780113,0.66481143,0.1904428,0.5199971,0.8158916,75.85314
0.1918577,0.57307285,0.85868126,0.06335616,0.4162559,65.93575
0.83535767,0.40665704,0.32260954,0.0895884,0.5750059,70.88109
0.9282779,0.04763943,0.2441293,0.9966221,0.45073372,73.69998
0.37431884,0.64567125,0.7514817,0.90422684,0.3482613,73.396736
0.48377967,0.7844429,0.39091367,0.90236545,0.39344347,82.3116
0.94762254,0.66707885,0.31873423,0.35646427,0.39232862,76.997955
0.8554234,0.12404424,0.48496377,0.64851785,0.3690855,75.34715
0.082650065,0.33062398,0.33731407,0.67074347,0.4105007,72.435974
0.68242,0.5157746,0.77218217,0.38677096,0.06762463,70.78842
0.63546604,0.9786512,0.26701778,0.24085027,0.35666418,72.76025
0.10929257,0.0070405602,0.554983,0.15532106,0.33167237,65.76257
0.817869,0.27551872,0.79080725,0.7438323,0.5730978,72.35415
0.19715142,0.8789048,0.5767674,0.50376236,0.29982656,71.28227
0.65112746,0.4904058,0.22025865,0.62751514,0.3877402,87.09278
0.38403082,0.8031037,0.23448288,0.897031,0.5940953,79.301254
0.15802568,0.5817131,0.72434056,0.086827576,0.23112285,66.52719
0.5460654,0.1471383,0.28919274,0.8241981,0.9490957,72.94665
0.8547988,0.41400456,0.6524898,0.9347286,0.17303061,75.54433
0.08357501,0.04267031,0.8165247,0.92298186,0.82530606,66.528366
0.8593646,0.60436666,0.20357138,0.8763855,0.08853519,82.166275
0.5243104,0.901112,0.8532098,0.55717254,0.93217206,68.3286
0.38511372,0.4384957,0.21890193,0.07628232,0.7579416,68.938065
0.12339729,0.84690344,0.7124932,0.13010871,0.16775465,67.102165
0.6781652,0.80610156,0.39321434,0.20981371,0.11565399,72.02904
0.43675596,0.9468761,0.66626114,0.43931562,0.25475526,71.53491
0.49246055,0.34853065,0.1573481,0.055930436,0.12958366,69.546616
0.15171087,0.42969865,0.8622903,0.8133643,0.44342333,69.01811
0.7789973,0.32404566,0.3608501,0.020923615,0.91774744,67.617294
0.7262717,0.98428494,0.9719569,0.4823777,0.4174707,68.29535
0.28873992,0.5156112,0.3333876,0.3473668,0.110886574,72.40579
0.38267803,0.38601136,0.9372346,0.055102766,0.06284642,65.67706
0.37246466,0.47359908,0.7862347,0.00980413,0.09886736,67.02852
0.57875633,0.5966506,0.52106774,0.3397969,0.33583498,75.99341
0.1806966,0.73956585,0.302396,0.6318888,0.95192206,70.629654
0.09102297,0.1724118,0.9704032,0.7688543,0.10206497,66.99371
0.92116827,0.14811367,0.88219887,0.81710005,0.4731068,69.48723
0.081682205,0.5829942,0.41019738,0.0005540252,0.13046646,66.72891
0.5932551,0.28328776,0.7338722,0.06653565,0.77716774,66.63355
0.5554156,0.23710287,0.4976049,0.8573918,0.86941385,73.18382
0.7505645,0.0911333,0.82734513,0.77562696,0.5097201,69.978
0.41913772,0.10549766,0.29271364,0.3532337,0.96551883,68.58377
0.35817385,0.05354774,0.014838338,0.499089,0.8540542,70.513245
0.24364495,0.036792576,0.3704033,0.7540852,0.4452678,71.210205
0.8533487,0.5209284,0.7662244,0.1238808,0.10510808,68.13902
0.94628423,0.92614216,0.15106302,0.76146835,0.7494925,76.14288
0.8725974,0.20363778,0.90007126,0.42784375,0.4018073,69.549446
0.88532484,0.7757115,0.86149067,0.13995576,0.0908851,67.388336
0.6613663,0.25420648,0.7456,0.5619998,0.77085465,71.19094
0.78362304,0.9440764,0.24432778,0.69839835,0.63258773,78.955345
0.8023154,0.8287408,0.00819093,0.9729733,0.56113154,80.36359
0.60739493,0.8637028,0.32434958,0.34098268,0.7919738,73.78606
0.19425291,0.8259801,0.55034196,0.69989693,0.46976674,72.87517
0.9842021,0.1707058,0.08448279,0.97455496,0.94241,71.23384
0.19864136,0.9395041,0.9743898,0.05536008,0.69009626,64.10611
0.6625277,0.42083013,0.3126349,0.82844996,0.5449434,85.83199
0.719688,0.7706389,0.56590337,0.77519464,0.43455744,80.47783
0.10887879,0.4910372,0.3324982,0.34465313,0.82366425,69.270645
0.11285651,0.9436902,0.61981434,0.14672506,0.98233706,65.31631
0.07277262,0.20485008,0.7559765,0.38475937,0.96714365,65.3266
0.87978053,0.48743933,0.43891668,0.74308133,0.16770953,80.76488
0.3496884,0.57104397,0.0436399,0.34120375,0.6852172,73.645706
0.5432976,0.9160814,0.47423315,0.43434006,0.4265666,76.12378
0.7478729,0.96225554,0.8495033,0.19352186,0.8693683,66.550934
0.76510537,0.43255287,0.3502813,0.7943496,0.039304674,79.885086
0.5358889,0.7966053,0.38384885,0.3169312,0.28905588,75.04855
0.33284432,0.9845865,0.117872894,0.7179376,0.58547515,75.595474
0.40566218,0.048584342,0.5129759,0.9929659,0.7321251,70.86348
0.8970412,0.83328855,0.32470256,0.18382442,0.24999052,72.38689
0.357436,0.91427004,0.5924019,0.22889388,0.9494279,67.84184
0.09028149,0.38123566,0.2960505,0.6454811,0.1131013,72.45892
0.52504003,0.7483238,0.7228165,0.516749,0.48811918,74.2509
0.84812057,0.22225511,0.3938352,0.60538614,0.6682869,75.663025
0.37953907,0.5009967,0.09905726,0.5008394,0.3444218,78.42241
0.93940336,0.6378003,0.9364653,0.9698563,0.6009323,70.24127
0.6515247,0.5773301,0.08173102,0.07332504,0.5029748,71.66058
0.47744942,0.18004549,0.7290153,0.74735314,0.7925191,70.39122
0.8657897,0.6658497,0.62636364,0.6558342,0.07726848,75.308395
0.65869,0.120850325,0.71730775,0.9609841,0.29125136,71.7915
0.92461133,0.4230402,0.39030892,0.099549234,0.91059375,68.64938
0.8996202,0.38473386,0.31355697,0.687235,0.11269909,78.99254
0.121349335,0.5314387,0.6612403,0.9987458,0.47774386,71.10451
0.57748675,0.24387562,0.008714378,0.20309031,0.029327154,70.31885
0.87930334,0.8441201,0.5537085,0.6984714,0.94389236,72.268684
0.6006642,0.5390493,0.35527945,0.8357326,0.11479044,82.728485
0.16276437,0.7019803,0.49312145,0.01800704,0.46142906,67.238235
0.98191804,0.5780707,0.21264958,0.34211546,0.09061277,74.55885
0.88797396,0.73886436,0.14019567,0.2560408,0.5607917,74.74681
0.5657256,0.04281473,0.71734655,0.04671669,0.10622752,65.86255
0.63475996,0.2047829,0.17879611,0.936657,0.31203282,79.71485
0.87791073,0.6538616,0.17059922,0.08431208,0.24723476,71.79794
0.08290112,0.6400741,0.77823937,0.31475472,0.9916066,65.98457
0.15038991,0.22740507,0.83699125,0.6209907,0.12971628,68.761566
0.18547767,0.7253561,0.46307182,0.8334922,0.46686316,75.50861
0.061864972,0.34495062,0.056013465,0.49422824,0.48649263,71.52826
0.5681336,0.7780113,0.78666383,0.27527702,0.10376459,69.47354
0.15131104,0.6434219,0.99622864,0.23963177,0.7404382,65.68548
0.18533754,0.43625098,0.7027746,0.016906321,0.3796988,66.229034
0.35817045,0.38194323,0.27798414,0.5306367,0.24843937,77.34267
0.5225392,0.87165004,0.06525564,0.96363914,0.7961348,76.22902
0.9185445,0.62591773,0.5393743,0.22457832,0.80278724,71.29057
0.1676771,0.2938332,0.5006706,0.7166515,0.28890914,72.65321
0.32867002,0.82400143,0.9050488,0.40240824,0.642499,68.914566
0.23671424,0.4904542,0.5897293,0.93398356,0.69831073,72.511444
0.7864961,0.04501462,0.13297325,0.37038726,0.32713085,72.53282
0.12097514,0.43053752,0.8406544,0.6003161,0.7775429,67.72774
0.36273813,0.07777166,0.6184073,0.049497068,0.6283823,66.34958
0.113961816,0.07785523,0.29235154,0.18145645,0.17700249,67.40369
0.2471776,0.7450579,0.0024973154,0.58956414,0.67712814,74.66524
0.1335175,0.2893905,0.7742084,0.70444906,0.7274285,68.56766
0.34714848,0.3083334,0.8815815,0.5208945,0.12995708,68.64243
0.5774176,0.09173602,0.27328306,0.46842235,0.6324582,73.291595
0.9221943,0.8886001,0.34843093,0.7072975,0.9447263,73.34272
0.5240832,0.25605893,0.84093267,0.34465122,0.14398599,69.021164
0.37724298,0.5603921,0.78350127,0.91571206,0.73023564,71.53531
0.30155146,0.9061813,0.3865341,0.104978144,0.43808538,70.14824
0.78781134,0.2303499,0.9012296,0.9971082,0.9695862,67.70408
0.2749462,0.7389342,0.49003828,0.8647539,0.67285526,74.97743
0.19991565,0.26847512,0.84882027,0.027606666,0.022680998,64.60759
0.6464183,0.5548975,0.5945876,0.22803688,0.26157683,72.20943
0.29056007,0.5227492,0.91577333,0.09188008,0.62406856,65.642456
0.28024322,0.5448679,0.29213858,0.1584217,0.25274384,71.71579
0.551947,0.99649996,0.7082928,0.9736611,0.5627657,72.603745
0.010425568,0.440327,0.6891394,0.81100976,0.9321503,67.15155
0.11702162,0.95002544,0.35558194,0.8614881,0.9548203,69.600845
0.5598546,0.6943501,0.34243953,0.21382827,0.29945242,73.93538
0.73028475,0.21555269,0.6059639,0.87614006,0.7512213,73.03584
0.69380486,0.91166544,0.22530687,0.32027692,0.9355757,70.94607
0.5848916,0.67653424,0.8663065,0.6471841,0.5537215,72.73265
0.56037456,0.5064747,0.52703613,0.38154227,0.4343341,76.016174
0.10895109,0.89947253,0.4966091,0.9433335,0.03114891,70.1212
0.083612084,0.86087227,0.71197075,0.4895169,0.3040871,68.974106
0.7639866,0.9412613,0.9557679,0.42910612,0.9081201,67.247574
0.010628045,0.60064304,0.5775647,0.13501531,0.08190495,66.34039
0.6921908,0.039536297,0.03916812,0.58693933,0.28963727,73.999306
0.05877465,0.12810093,0.6415646,0.9995346,0.1516186,67.76303
0.3125589,0.4622473,0.7674542,0.3708138,0.9736847,67.3129
0.9777137,0.18011099,0.13237256,0.1994189,0.52195895,71.19685
0.0105724335,0.53393435,0.10037118,0.6350083,0.6475189,71.28891
0.7774326,0.13531798,0.10097277,0.43167943,0.5471008,74.35283
0.467044,0.9761556,0.056555748,0.98436046,0.48711634,77.36615
0.08781177,0.084375024,0.051182747,0.20750815,0.5059033,67.462975
0.960964,0.21580303,0.37289155,0.39145237,0.9859322,69.042786
0.20177895,0.3093356,0.62239337,0.95696545,0.61733574,71.441605
0.084504664,0.96850127,0.6819282,0.07960677,0.32044512,65.95749
0.9697114,0.067195594,0.54526085,0.9838629,0.5457092,72.068405
0.7028597,0.85208535,0.22426373,0.9669269,0.55981624,82.59573
0.4587071,0.35095036,0.38870043,0.39398944,0.057103336,73.72539
0.0011014342,0.7594873,0.78126734,0.3603236,0.20598835,67.089516
0.14518803,0.4405048,0.6611784,0.809955,0.4596972,72.18924
0.16132313,0.7977299,0.72342926,0.6910986,0.46050286,70.777794
0.12192196,0.6529778,0.29191887,0.8499134,0.5671121,74.571335
0.49553436,0.36169797,0.03613472,0.14275557,0.33171773,71.35608
0.49248737,0.18937343,0.49461287,0.020068884,0.5067816,67.63762
0.27958602,0.67091215,0.9749799,0.69623464,0.18064553,68.46451
0.23914081,0.82476926,0.7424623,0.46219885,0.44646454,70.31467
0.9336526,0.13763642,0.6781494,0.3676452,0.9929469,67.073425
0.9447193,0.9309817,0.4807461,0.22847319,0.9292182,68.9091
0.17265826,0.5992276,0.50598514,0.83011085,0.48685598,75.35014
0.39302057,0.16053629,0.8898123,0.20964164,0.8843419,65.427155
0.8460892,0.11304051,0.9768011,0.066309035,0.6830899,65.218475
0.32765734,0.23572546,0.48773056,0.056545258,0.58474094,68.0237
0.33004826,0.5176141,0.9557233,0.3919915,0.7438045,67.45488
0.2601083,0.95121515,0.017727554,0.55753237,0.8102174,71.260735
0.3663448,0.86906826,0.051955104,0.13652074,0.9714068,68.122116
0.25840563,0.12118214,0.6257141,0.8181163,0.65808815,69.949615
0.4954092,0.044268668,0.3689252,0.9527764,0.8855074,70.856064
0.8639502,0.16056067,0.07784015,0.023148358,0.88756263,66.93027
0.50516975,0.033323824,0.7552008,0.069906294,0.8077806,65.315094
0.7252001,0.75490355,0.99466634,0.9220991,0.6664501,70.452286
0.29833585,0.9547296,0.9959272,0.450325,0.5030365,66.96622
0.13397849,0.89865446,0.7354446,0.058013797,0.59157246,65.50226
0.12518972,0.40901124,0.9515108,0.9640329,0.016943395,66.54553
0.9414739,0.85887796,0.6448362,0.6315751,0.37809014,74.70241
0.9344352,0.3093319,0.9865932,0.42553693,0.6954348,67.27307
0.36053663,0.7408245,0.21977097,0.84511364,0.49565583,80.905266
0.20302945,0.10175127,0.14464623,0.59804684,0.5563677,71.51227
0.0072407126,0.99421006,0.99001837,0.60285854,0.11189765,65.3141
0.1096676,0.02125293,0.89461744,0.13868725,0.025120795,63.999767
0.6015002,0.46463835,0.65052426,0.84896564,0.0959934,75.46177
0.98389786,0.16329038,0.6456335,0.56856334,0.5002808,71.60867
0.9009715,0.45301455,0.179784,0.9322404,0.52044064,83.73169
0.091361165,0.6176098,0.67070204,0.14358115,0.052351534,66.20668
0.48300964,0.29612774,0.14040792,0.36983144,0.43140173,76.91058
0.8160608,0.25119942,0.49975574,0.47993028,0.73062307,73.3009
0.91582114,0.24757367,0.33217567,0.2540745,0.93831474,69.22496
0.6825742,0.25026876,0.02004999,0.67512953,0.031073451,76.14371
0.77826065,0.9280096,0.21561366,0.7406754,0.18302399,80.292175
0.2618029,0.63851774,0.029146194,0.33172756,0.3578089,72.88669
0.22164184,0.9035572,0.12555617,0.2825994,0.31641138,71.24014
0.3249867,0.23209351,0.6056663,0.737852,0.123420894,72.69161
0.90775365,0.08088112,0.1396634,0.53844076,0.16253984,73.77172
0.88252497,0.41728687,0.9175664,0.40634996,0.91772634,68.244705
0.98036385,0.077943265,0.44986802,0.6316342,0.21575236,73.20925
0.46796417,0.53393424,0.8489128,0.9761656,0.21994448,71.976006
0.47515732,0.028043687,0.824932,0.49274015,0.33117807,68.31702
0.09673512,0.45911032,0.7646564,0.41459417,0.2713511,68.173874
0.5300221,0.95950377,0.53482026,0.77509373,0.18420124,76.18251
0.33338296,0.80740947,0.8269699,0.40529984,0.12153906,69.46333
0.6663753,0.0916788,0.19363481,0.21392417,0.68173516,70.36648
0.30127114,0.84075177,0.35207593,0.23708493,0.10010505,71.09597
0.72854185,0.30665565,0.41295707,0.67183775,0.7383954,77.69821
0.48675758,0.060852826,0.21116614,0.28079337,0.19495314,70.734634
0.51845527,0.9403038,0.08844578,0.22540933,0.8943713,70.17537
0.90062,0.43680483,0.84120893,0.014220595,0.17527717,66.39876
0.67008567,0.67884135,0.10024941,0.43744367,0.65048045,78.909424
0.82746935,0.3725204,0.59043854,0.49854594,0.45791936,76.17174
0.8493762,0.894407,0.31005442,0.70092475,0.27196115,80.96829
0.24094212,0.09008825,0.86091393,0.48332584,0.8131808,66.15219
0.46640593,0.76885563,0.6657779,0.0864836,0.24293518,68.46826
0.79053116,0.34398943,0.035384655,0.9216435,0.87958133,75.18715
0.2970224,0.013501048,0.6979184,0.56662387,0.017791271,67.55443
0.77017784,0.8951286,0.15284467,0.7632939,0.36265677,83.3897
0.08780646,0.69234097,0.5380851,0.82723016,0.0895499,72.35649
0.94537675,0.9883484,0.22683233,0.79270995,0.04488951,75.5215
0.09696162,0.47081345,0.9746506,0.6234236,0.7119256,66.84114
0.40362626,0.07518035,0.7928977,0.83554095,0.89165807,67.95311
0.64938545,0.44444793,0.85191864,0.27184355,0.7596906,68.437256
0.47188956,0.057458878,0.398861,0.92032766,0.2157805,73.519775
0.09198326,0.75000125,0.19459438,0.704935,0.6753155,73.948364
0.41734946,0.75590694,0.14895177,0.4160455,0.91988844,72.19987
0.1477254,0.49439442,0.23749816,0.49143642,0.822014,71.45971
0.8896592,0.5954039,0.026124656,0.36330277,0.43114835,77.50827
0.73471475,0.61070657,0.25436258,0.9679571,0.83314526,78.377495
0.12964469,0.535834,0.3544438,0.107043326,0.84295416,67.37398
0.23939222,0.040714145,0.5485041,0.012562811,0.5324653,65.746735
0.029971242,0.77553916,0.77165604,0.33381587,0.7194031,66.627655
0.28274304,0.981264,0.46303552,0.19635427,0.31106436,69.251465
0.4180901,0.5844624,0.97357017,0.748349,0.7941584,68.57909
0.2829901,0.9371721,0.9461261,0.8754223,0.17355657,67.875114
0.016700923,0.15327883,0.60601866,0.9132117,0.8052,67.10484
0.35702574,0.4110189,0.6059538,0.2976299,0.2950539,71.01581
0.2947896,0.63104564,0.0063747764,0.22385383,0.24371803,72.014465
0.28280294,0.93574697,0.96316516,0.064727604,0.0045847297,65.62522
0.46679324,0.89239204,0.21437174,0.24931228,0.8339843,70.53435
0.8646616,0.6548266,0.013107419,0.26007873,0.2572636,74.452835
0.6269017,0.4919185,0.033865154,0.5079369,0.49653566,80.95474
0.8939949,0.015935063,0.6432078,0.1483323,0.80776215,66.13231
0.6388251,0.5534939,0.974728,0.31019747,0.20878464,68.37674
0.7987047,0.89698035,0.2718262,0.6005699,0.49345744,80.79262
0.0227049,0.3764506,0.92018586,0.03922534,0.9467131,63.703125
0.60931456,0.46313798,0.09093386,0.32262516,0.20252615,75.66675
0.91629434,0.7053224,0.7938914,0.76432216,0.09845698,72.472305
0.40611625,0.81002975,0.48742926,0.4620235,0.004293442,72.930916
0.36774808,0.45514554,0.2986042,0.41645896,0.38360566,76.32749
0.7609913,0.6308313,0.964113,0.7736209,0.72112966,70.83034
0.79752403,0.0067876577,0.8945946,0.17417043,0.6101896,65.75993
0.48804015,0.33246577,0.40706527,0.5807769,0.1546858,77.67955
0.13492799,0.4345926,0.4012133,0.15917087,0.51012605,68.56317
0.0041044354,0.36438787,0.4372154,0.59375834,0.2723902,70.710464
0.30339295,0.87784165,0.08718717,0.5401785,0.4000883,76.21909
0.65823346,0.7193037,0.75878096,0.30151922,0.21014178,70.82445
0.80913,0.121934414,0.8581957,0.64822066,0.28264493,69.7854
0.30158246,0.94993657,0.5589585,0.52295166,0.27015,72.56061
0.8040261,0.4511425,0.20924556,0.55646634,0.7583523,78.49962
0.1580944,0.66720176,0.26754725,0.58502847,0.0635789,73.75673
0.86959004,0.46353203,0.78284234,0.9632985,0.45930523,73.682526
0.4006874,0.09105313,0.5241648,0.42748296,0.2590394,70.763306
0.03712076,0.40271366,0.57466716,0.69920164,0.9296844,67.80869
0.09215337,0.3394971,0.4732976,0.4648233,0.24404848,71.25256
0.24073082,0.17183053,0.37384713,0.7778545,0.0969339,72.83774
0.99301773,0.7295084,0.7200603,0.27755487,0.69548666,69.77081
0.72893715,0.7254721,0.20864582,0.80268294,0.9976192,74.99101
